Agent;24,27
Agent;18,48
Agent;44,41
Tick;3
Agent;24,27
Agent;18,48
Agent;44,41
Tick;3
Agent;24,27
Agent;18,48
Agent;44,41
Tick;3
Agent;13,21
Agent;24,27
Agent;18,48
Agent;44,41
Tick;4
Agent;24,27
Agent;18,48
Agent;44,41
Tick;3
Agent;45,42
Agent;24,27
Agent;18,48
Agent;2,43
Tick;4
Agent;45,42
Agent;24,27
Agent;18,48
Tick;3
Agent;45,42
Agent;24,27
Agent;18,48
Tick;3
Agent;45,42
Agent;24,27
Agent;18,48
Tick;3
Agent;45,42
Agent;24,27
Agent;18,48
Tick;3
Agent;45,42
Agent;24,27
Agent;18,48
Tick;3
Agent;45,42
Agent;34,23
Agent;24,27
Agent;18,48
Tick;4
Agent;45,42
Agent;24,27
Agent;18,48
Tick;3
Agent;45,42
Agent;24,27
Agent;18,48
Agent;14,25
Tick;4
Agent;45,42
Agent;31,33
Agent;24,27
Agent;18,48
Agent;45,40
Tick;5
Agent;13,33
Agent;45,42
Agent;24,27
Agent;18,48
Tick;4
Agent;45,42
Agent;24,27
Agent;18,48
Tick;3
Agent;45,42
Agent;24,27
Agent;18,48
Tick;3
Agent;45,42
Agent;24,27
Agent;18,48
Tick;3
