Tick;200;400;0
Tick;149;400;0
Tick;125;400;0
Tick;221;400;0
Tick;192;400;0
Tick;168;400;0
Tick;306;400;0
Tick;276;144;1
Tick;261;107;2
Tick;497;90;5
Tick;480;166;2
Tick;452;151;2
Tick;862;142;6
Tick;823;136;6
Tick;788;126;6
Tick;1508;122;12
Tick;1479;118;12
Tick;1434;78;18
Tick;2580;75;34
Tick;2579;74;34
Tick;2560;148;17
Tick;4121;148;27
Tick;4204;148;28
Tick;4183;148;28
Tick;5868;148;39
Tick;6074;148;41
Tick;6185;148;41
Tick;7443;146;50
Tick;7676;146;52
Tick;7791;145;53
Tick;8388;290;28
Tick;8489;290;29
Tick;8580;290;29
Tick;8963;290;30
Tick;9065;290;31
Tick;9121;289;31
Tick;9317;289;32
Tick;9381;289;32
Tick;9424;288;32
Tick;9524;288;33
Tick;9309;576;16
Tick;9179;576;15
Tick;9163;576;15
Tick;9105;576;15
Tick;9059;576;15
Tick;9041;576;15
Tick;9006;576;15
Tick;8970;576;15
Tick;8960;573;15
Tick;8931;570;15
Tick;8536;1128;7
Tick;8116;1123;7
Tick;7804;1119;6
Tick;7553;1119;6
Tick;7335;1115;6
Tick;7146;1114;6
Tick;6982;1108;6
Tick;6829;1079;6
Tick;6668;1042;6
Tick;6546;983;6
Tick;6071;1882;3
Tick;5308;1849;2
Tick;4665;1818;2
Tick;4110;1794;2
Tick;3655;1775;2
Tick;3282;1751;1
Tick;2950;1725;1
Tick;2669;1421;1
Tick;2392;1293;1
Tick;2159;1171;1
Tick;1859;2044;0
Tick;1400;1921;0
Tick;1090;1811;0
Tick;859;1740;0
Tick;671;1674;0
Tick;513;1592;0
Tick;425;1515;0
Tick;354;696;0
Tick;304;503;0
Tick;291;390;0
Tick;256;645;0
Tick;208;573;0
Tick;201;497;0
Tick;177;454;0
Tick;172;414;0
Tick;200;391;0
Tick;195;387;0
Tick;200;85;2
Tick;234;58;4
Tick;239;42;5
Tick;248;60;4
Tick;287;57;5
Tick;291;56;5
Tick;309;53;5
Tick;361;51;7
Tick;380;49;7
Tick;402;46;8
Tick;466;22;21
Tick;493;15;32
Tick;527;10;52
Tick;609;16;38
Tick;641;15;42
Tick;691;14;49
Tick;784;12;65
Tick;817;10;81
Tick;878;10;87
Tick;973;10;97
Tick;1011;5;202
Tick;1094;5;218
Tick;1194;5;238
Tick;1240;10;124
Tick;1353;10;135
Tick;1468;10;146
Tick;1517;10;151
Tick;1660;10;166
Tick;1780;10;178
Tick;1851;10;185
Tick;2013;9;223
Tick;2159;8;269
Tick;2229;8;278
Tick;2408;16;150
Tick;2575;16;160
Tick;2665;16;166
Tick;2869;16;179
Tick;3054;16;190
Tick;3164;16;197
Tick;3395;16;212
Tick;3593;16;224
Tick;3717;16;232
Tick;3950;16;246
Tick;4160;32;130
Tick;4276;32;133
Tick;4487;32;140
Tick;4701;32;146
Tick;4831;32;150
Tick;5043;32;157
Tick;5270;32;164
Tick;5397;32;168
Tick;5625;32;175
Tick;5837;32;182
Tick;5935;64;92
Tick;6147;64;96
Tick;6356;64;99
Tick;6475;64;101
Tick;6676;64;104
Tick;6884;64;107
Tick;7001;64;109
Tick;7195;64;112
Tick;7387;64;115
Tick;7498;64;117
Tick;7644;126;60
Tick;7749;126;61
Tick;7801;126;61
Tick;7920;125;63
Tick;8027;125;64
Tick;8062;125;64
Tick;8140;125;65
Tick;8207;116;70
Tick;8249;109;75
Tick;8329;96;86
Tick;8365;186;44
Tick;8333;186;44
Tick;8324;185;44
Tick;8336;184;45
Tick;8328;184;45
Tick;8341;183;45
Tick;8363;181;46
Tick;8366;169;49
Tick;8386;166;50
Tick;8421;156;53
Tick;8393;298;28
Tick;8310;296;28
Tick;8232;293;28
Tick;8188;289;28
Tick;8162;285;28
Tick;8126;282;28
Tick;8084;280;28
Tick;8069;259;31
Tick;8052;237;33
Tick;8026;218;36
Tick;7961;414;19
Tick;7827;408;19
Tick;7711;391;19
Tick;7635;383;19
Tick;7572;375;20
Tick;7507;373;20
Tick;7461;369;20
Tick;7429;281;26
Tick;7378;256;28
Tick;7356;239;30
Tick;7265;452;16
Tick;7074;443;15
Tick;6913;440;15
Tick;6790;438;15
Tick;6689;437;15
Tick;6584;431;15
Tick;6518;429;15
Tick;6457;376;17
Tick;6370;347;18
Tick;6302;321;19
Tick;6204;592;10
